公司名稱,職位名稱,工作待遇,工作地點,工作經歷,科系要求,語言條件,linux,MySQL,Java,Python,AWS,LAN,MS SQL,C#,PHP,Github,JavaScript
CHPT_中華精測科技股份有限公司,AI人工智慧系統應用程式開發工程師,待遇面議,桃園市平鎮區湧豐里工業三路12號,1年以上,"['資訊工程相關', '資訊管理相關', '電機電子工程相關']",0,0,0,0,1,0,0,1,0,0,0,0
Gorilla Technology Group_大猩猩科技股份有限公司,C# application developer,待遇面議,台北市內湖區瑞光路302號7樓,不拘,"['資訊工程相關', '數學及電算機科學學科類', '工程學科類']",['英文'],0,0,0,0,0,0,0,0,0,0,0
Gorilla Technology Group_大猩猩科技股份有限公司,C/C++影像處理軟體工程師/資深軟體工程師,待遇面議,台北市內湖區瑞光路302號7樓,不拘,"['資訊工程相關', '數學及電算機科學學科類', '工程學科類']",['英文'],0,0,0,1,0,0,0,0,0,0,0
POSITIVE GRID_佳格數位科技有限公司,【音訊演算法工程師】Audio Algorithm Engineer,"年薪840,000~1,600,000元",台北市大同區承德路三段287之2號3樓,3年以上,[],['英文'],0,0,0,1,0,0,0,0,0,0,0
佳易科技股份有限公司,Software Design Manager,待遇面議,新竹縣竹北市台元街38號4樓之6,10年以上,"['電機電子工程相關', '資訊工程相關']",['英文'],0,0,0,0,0,0,0,0,0,0,0
信邦電子股份有限公司,2020 R&D Internship Program 研發實習計畫- R&D (工作地點 ,待遇面議,新北市汐止區新台五路一段79號4樓之13(遠東世界中心C棟),不拘,"['工程學科類', '電機電子工程相關', '機械工程相關']",['英文'],0,0,0,0,0,0,0,0,0,0,0
信邦電子股份有限公司,2020 R&D Summer Internship Program(7/1-8/31),"月薪25,000元",新北市汐止區新台五路一段79號4樓之13(遠東世界中心C棟),不拘,"['工程學科類', '電機電子工程相關', '資訊工程相關']",['英文'],0,0,0,0,0,0,0,0,0,0,0
信邦電子股份有限公司,2020 R&D Summer Internship Program(7/1-8/31),"月薪25,000元",新北市汐止區新台五路一段79號4樓之13(遠東世界中心C棟),不拘,"['工程學科類', '電機電子工程相關', '資訊工程相關']",['英文'],0,0,0,0,0,0,0,0,0,0,0
優式機器人股份有限公司,Deep Learning/Machine Learning AI Developer,待遇面議,台北市內湖區新湖1路149號4樓,不拘,"['電機電子工程相關', '資訊工程相關', '其他數學及電算機科學相關']",['英文'],0,0,0,1,0,0,0,0,0,1,0
優式機器人股份有限公司,學生實習 Deep Learning/AI Intern ,待遇面議,台北市內湖區新湖1路149號4樓,不拘,"['電機電子工程相關', '資訊工程相關', '其他數學及電算機科學相關']",['英文'],0,0,0,1,0,0,0,0,0,1,0
先進車系統股份有限公司,車用影像演算法與AI架構開發工程師,"月薪40,000~70,000元",雲林縣斗六市大學路三段123號 產學研大樓,不拘,"['工程學科類', '資訊工程相關', '應用數學相關']",['英文'],0,0,0,1,0,0,0,0,0,0,0
先鋒機械股份有限公司,軟體工程師,"月薪50,000~75,000元",新北市土城區土城工業區民族路9號,不拘,[],['英文'],0,0,0,0,0,0,0,0,0,0,0
